"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,20,"PiS","Mariusz","Błaszczak",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,21,"KO","Mateusz","Bochenek",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,22,"PiS","Rafał","Bochenek","Paweł","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,23,"Polska2050","Izabela","Bodnar","Anna","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,24,"PiS","Jacek","Bogucki",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,25,"PiS","Zbigniew","Bogucki",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,26,"KO","Krzysztof","Bojarski",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,27,"PiS","Joanna","Borowiak","Beata","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,28,"PiS","Kamil","Bortniczuk",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,29,"KO","Piotr","Borys",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,30,"PiS","Bożena","Borys-Szopa","Teresa","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,31,"KO","Marcin","Bosacki","Rafał","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,32,"Konfederacja","Karina","Bosak","Anna","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,33,"Konfederacja","Krzysztof","Bosak",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,34,"Konfederacja","Grzegorz","Braun","Michał","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,35,"KO","Krzysztof","Brejza",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,36,"Polska2050","Agnieszka","Buczyńska","MARIA","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,37,"PiS","Waldemar","Buda","Grzegorz","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,38,"KO","Borys","Budka","Piotr","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,39,"Polska2050","Elżbieta","Burkiewicz","Jolanta","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,40,"PiS","Lidia","Burzyńska","Ewa","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,41,"KO","Marek","Chmielewski","Jan","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,42,"PiS","Zbigniew","Chmielowiec","Michał","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,43,"PiS","Artur","Chojecki","Henryk","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,44,"PiS","Kazimierz","Choma","Bogusław","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,45,"PiS","Dominika","Chorosińska","Małgorzata","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,46,"PiS","Tadeusz","Chrzan",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,47,"KO","Alicja","Chybicka","Paulina","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,48,"PiS","Anna","Cicholska","Ewa","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,49,"KO","Janusz","Cichoń","Władysław","YES",2,458
