"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,2,"KO","Piotr","Adamowicz",NA,"NO",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,3,"PiS","Adam","Andruszkiewicz",NA,"YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,4,"PiS","Waldemar","Andzel","Franciszek","YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,6,"PiS","Jan","Ardanowski","Krzysztof","ABSTAIN",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,7,"PiS","Iwona","Arent","Ewa","YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,8,"KO","Bartosz","Arłukowicz","Adam","NO",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,9,"PiS","Marek","Ast",NA,"YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,10,"KO","Urszula","Augustyn",NA,"NO",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,11,"PiS","Piotr","Babinetz","Mieczysław","YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,12,"PiS","Ryszard","Bartosik",NA,"YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,13,"PSL-TD","Władysław","Bartoszewski","Teofil","NO",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,14,"PiS","Barbara","Bartuś","Halina","YES",104,186
15,"2023-12-12T18:57:18","ELECTRONIC",250,8,1,10,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11 i 12 grudnia 2023 r.","wniosek o odroczenie posiedzenia",451,15,"PSL-TD","Paweł","Bejda","Jan","NO",104,186
