"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,2,"KO","Piotr","Adamowicz",NA,"NO",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,3,"PiS","Adam","Andruszkiewicz",NA,"YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,4,"PiS","Waldemar","Andzel","Franciszek","YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,6,"PiS","Jan","Ardanowski","Krzysztof","YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,7,"PiS","Iwona","Arent","Ewa","YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,8,"KO","Bartosz","Arłukowicz","Adam","NO",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,9,"PiS","Marek","Ast",NA,"YES",12,188
4,"2024-04-26T11:07:50","ELECTRONIC",236,29,10,3,10,"Pkt. 2 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustawy o mniejszościach narodowych i etnicznych oraz o języku regionalnym oraz niektórych innych ustaw (druki nr 233 i 289)","wniosek o odrzucenie w całości projektu.",428,10,"KO","Urszula","Augustyn",NA,"NO",12,188
