"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,1,"PiS","Andrzej","Adamczyk","Mieczysław","NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,2,"KO","Piotr","Adamowicz",NA,"YES",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,3,"PiS","Adam","Andruszkiewicz",NA,"NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,4,"PiS","Waldemar","Andzel","Franciszek","NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,6,"PiS","Jan","Ardanowski","Krzysztof","NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,7,"PiS","Iwona","Arent","Ewa","NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,8,"KO","Bartosz","Arłukowicz","Adam","YES",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,9,"PiS","Marek","Ast",NA,"NO",14,243
17,"2023-11-21T12:08:40","ELECTRONIC",188,12,1,3,10,"1. posiedzenie Sejmu w dniach 13, 14, 21, 22 i 28 listopada 2023 r.","wyrażenie zgody na skrócenie terminu określonego w art. 30 ust. 4 regulaminu Sejmu",448,10,"KO","Urszula","Augustyn",NA,"YES",14,243
