"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,2,"KO","Piotr","Adamowicz",NA,"YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,3,"PiS","Adam","Andruszkiewicz",NA,"YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,4,"PiS","Waldemar","Andzel","Franciszek","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,6,"PiS","Jan","Ardanowski","Krzysztof","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,7,"PiS","Iwona","Arent","Ewa","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,8,"KO","Bartosz","Arłukowicz","Adam","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,9,"PiS","Marek","Ast",NA,"YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,10,"KO","Urszula","Augustyn",NA,"YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,11,"PiS","Piotr","Babinetz","Mieczysław","YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,12,"PiS","Ryszard","Bartosik",NA,"YES",19,420
2,"2024-02-22T15:49:51","wniosek z druku nr 221","ELECTRONIC",0,36,6,2,10,"Pkt. 13 Zmiany w składach osobowych komisji sejmowych (druk nr 221)","głosowanie nad przyjęciem wniosku z druku",422,13,"PSL-TD","Władysław","Bartoszewski","Teofil","ABSENT",19,420
