"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,1,"PiS","Andrzej","Adamczyk","Mieczysław","ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,2,"KO","Piotr","Adamowicz",NA,"NO",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,3,"PiS","Adam","Andruszkiewicz",NA,"ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,4,"PiS","Waldemar","Andzel","Franciszek","ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,6,"PiS","Jan","Ardanowski","Krzysztof","ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,7,"PiS","Iwona","Arent","Ewa","ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,8,"KO","Bartosz","Arłukowicz","Adam","NO",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,9,"PiS","Marek","Ast",NA,"ABSENT",124,39
0,"2023-12-20T14:52:25","ELECTRONIC",206,215,1,12,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","Wniosek o przerwę",245,10,"KO","Urszula","Augustyn",NA,"NO",124,39
