"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,2,"KO","Piotr","Adamowicz",NA,"YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,3,"PiS","Adam","Andruszkiewicz",NA,"YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,4,"PiS","Waldemar","Andzel","Franciszek","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,6,"PiS","Jan","Ardanowski","Krzysztof","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,7,"PiS","Iwona","Arent","Ewa","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,8,"KO","Bartosz","Arłukowicz","Adam","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,9,"PiS","Marek","Ast",NA,"YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,10,"KO","Urszula","Augustyn",NA,"YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,11,"PiS","Piotr","Babinetz","Mieczysław","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,12,"PiS","Ryszard","Bartosik",NA,"YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,13,"PSL-TD","Władysław","Bartoszewski","Teofil","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,14,"PiS","Barbara","Bartuś","Halina","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,15,"PSL-TD","Paweł","Bejda","Jan","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,16,"Konfederacja","Konrad","Berkowicz","Szczepan","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,17,"KO","Sylwia","Bielawska","Alina","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,18,"PSL-TD","Marek","Biernacki",NA,"YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,19,"KO","Paweł","Bliźniuk","Kazimierz","YES",3,413
2,"2024-01-16T10:32:39","wniosek z druku nr 161","ELECTRONIC",0,42,2,1,10,"Pkt. 1 Zmiany w składach osobowych komisji sejmowych (druk nr 161)","głosowanie nad przyjęciem wniosku z druku.",415,20,"PiS","Mariusz","Błaszczak",NA,"YES",3,413
