"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,2,"KO","Piotr","Adamowicz",NA,"NO",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,3,"PiS","Adam","Andruszkiewicz",NA,"YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,4,"PiS","Waldemar","Andzel","Franciszek","YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,6,"PiS","Jan","Ardanowski","Krzysztof","YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,7,"PiS","Iwona","Arent","Ewa","YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,8,"KO","Bartosz","Arłukowicz","Adam","NO",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,9,"PiS","Marek","Ast",NA,"YES",41,184
0,"2023-11-29T18:46:20","ELECTRONIC",261,15,1,6,10,"Pkt. 23 Informacja Prezesa Rady Ministrów w sprawie protestów polskich transportowców i rolników na granicy polsko-ukraińskiej","głosowanie za przyjęciem informacji",445,10,"KO","Urszula","Augustyn",NA,"NO",41,184
