"MP","club","firstName","lastName","listVotes.GROSZKOWSKI JAKUB","listVotes.WRÓBLEWSKI MIROSŁAW","secondName","vote"
329,"PiS","Anna","Schmidt",YES,NO,"Katarzyna","VOTE_VALID"
330,"PiS","Łukasz","Schreiber",YES,NO,NA,"VOTE_VALID"
331,"PiS","Jarosław","Sellin",YES,NO,"Daniel","VOTE_VALID"
332,"PiS","Olga","Semeniuk-Patkowska",YES,NO,"Ewa","VOTE_VALID"
333,"PiS","Edward","Siarka",YES,NO,NA,"VOTE_VALID"
334,"KO","Krystyna","Sibińska",NO,YES,"Mieczysława","VOTE_VALID"
335,"PSL-TD","Czesław","Siekierski",NO,YES,"Adam","VOTE_VALID"
336,"KO","Rafał","Siemaszko",NO,YES,NA,"VOTE_VALID"
337,"KO","Tomasz","Siemoniak",NO,YES,NA,"VOTE_VALID"
338,"KO","Bartłomiej","Sienkiewicz",NA,NA,"Henryk","ABSENT"
339,"Lewica","Arkadiusz","Sikora",NO,YES,"-","VOTE_VALID"
340,"Konfederacja","Włodzimierz","Skalik",NO,NO,"Bogdan","VOTE_VALID"
341,"Polska2050-TD","Marcin","Skonieczka",NO,YES,"Seweryn","VOTE_VALID"
342,"KO","Krystyna","Skowrońska",NO,YES,NA,"VOTE_VALID"
343,"PiS","Sławomir","Skwarek",YES,NO,NA,"VOTE_VALID"
344,"KO","Waldemar","Sługocki",NO,YES,"Jan","VOTE_VALID"
345,"KO","Weronika","Smarduch",NO,YES,"Anna","VOTE_VALID"
346,"PiS","Kazimierz","Smoliński",YES,NO,NA,"VOTE_VALID"
347,"KO","Anna","Sobolak",NO,YES,"Helena","VOTE_VALID"
348,"PiS","Krzysztof","Sobolewski",YES,NO,NA,"VOTE_VALID"
350,"PiS","Agnieszka","Soin",YES,NO,"Anna","VOTE_VALID"
351,"PSL-TD","Zbigniew","Sosnowski",NO,YES,NA,"VOTE_VALID"
352,"KO","Marek","Sowa",NO,YES,"Jan","VOTE_VALID"
353,"PiS","Katarzyna","Sójka",YES,NO,NA,"VOTE_VALID"
354,"PSL-TD","Magdalena","Sroka",NO,YES,"Joanna","VOTE_VALID"
355,"PiS","Mirosława","Stachowiak-Różecka",YES,NO,"Agnieszka","VOTE_VALID"
356,"PiS","Dariusz","Stefaniuk",NA,NA,"Paweł","ABSENT"
357,"KO","Franciszek","Sterczewski",NO,YES,"Wojciech","VOTE_VALID"
358,"Polska2050-TD","Piotr","Strach",NO,YES,"Paweł","VOTE_VALID"
359,"Polska2050-TD","Mirosław","Suchoń",NO,YES,"Tadeusz","VOTE_VALID"
360,"PiS","Marek","Suski",NA,NA,NA,"ABSENT"
361,"KO","Paweł","Suski",NO,YES,NA,"VOTE_VALID"
362,"PiS","Artur","Szałabawka",YES,NO,"Lesław","VOTE_VALID"
363,"PiS","Wojciech","Szarama",YES,NO,"Piotr","VOTE_VALID"
364,"Lewica","Wiesław","Szczepański",NO,YES,"Andrzej","VOTE_VALID"
365,"KO","Michał","Szczerba",NO,YES,"Roch","VOTE_VALID"
366,"PiS","Krzysztof","Szczucki",YES,NO,"Łukasz","VOTE_VALID"
367,"PiS","Józefa","Szczurek-Żelazko",YES,NO,NA,"VOTE_VALID"
368,"PiS","Paweł","Szefernaker",YES,NO,"Maciej","VOTE_VALID"
369,"Lewica","Andrzej","Szejna",NO,YES,"Jan","VOTE_VALID"
370,"KO","Andrzej","Szewiński",NO,YES,NA,"VOTE_VALID"
371,"KO","Adam","Szłapka",NO,YES,"Stanisław","VOTE_VALID"
372,"KO","Henryk","Szopiński",NO,YES,"Marian","VOTE_VALID"
373,"PiS","Paweł","Szrot",YES,NO,NA,"VOTE_VALID"
374,"KO","Krystyna","Szumilas",NO,YES,"Maria","VOTE_VALID"
375,"PiS","Stanisław","Szwed",YES,NO,NA,"VOTE_VALID"
376,"Polska2050-TD","Ewa","Szymanowska",NO,YES,"Joanna","VOTE_VALID"
377,"KO","Tomasz","Szymański",NO,YES,"Józef","VOTE_VALID"
378,"PiS","Szymon","Szynkowski vel Sęk",YES,NO,"Andrzej","VOTE_VALID"
379,"KO","Łukasz","Ściebiorowski",NO,YES,"Andrzej","VOTE_VALID"
380,"PiS","Agnieszka","Ścigaj",NA,NA,NA,"ABSENT"
381,"PiS","Andrzej","Śliwka",YES,NO,NA,"VOTE_VALID"
382,"Polska2050-TD","Paweł","Śliz",NO,YES,"Marek","VOTE_VALID"
383,"Lewica","Krzysztof","Śmiszek",NA,NA,"Jan","ABSENT"
384,"PiS","Jacek","Świat",YES,NO,NA,"VOTE_VALID"
385,"KO","Apoloniusz","Tajner",NO,YES,"Leopold","VOTE_VALID"
386,"PiS","Krzysztof","Tchórzewski",YES,NO,NA,"VOTE_VALID"
387,"PiS","Robert","Telus",YES,NO,NA,"VOTE_VALID"
388,"PiS","Ryszard","Terlecki",YES,NO,"Iwon","VOTE_VALID"
389,"Lewica","Tadeusz","Tomaszewski",NO,YES,NA,"VOTE_VALID"
390,"PSL-TD","Jacek","Tomczak",NO,YES,"Jerzy","VOTE_VALID"
391,"Polska2050-TD","Wioleta","Tomczak",NO,YES,"Barbara","VOTE_VALID"
392,"KO","Cezary","Tomczyk",NO,YES,"Józef","VOTE_VALID"
393,"PSL-TD","Stanisław","Tomczyszyn",NO,YES,NA,"VOTE_VALID"
394,"KO","Małgorzata","Tracz",NO,YES,"Elżbieta","VOTE_VALID"
395,"Lewica","Tomasz","Trela",NO,YES,"Dominik","VOTE_VALID"
396,"KO","Krzysztof","Truskolaski",NO,YES,NA,"VOTE_VALID"
397,"Konfederacja","Krzysztof","Tuduj",NO,NO,NA,"VOTE_VALID"
398,"PiS","Sylwester","Tułajew",YES,NO,"Karol","VOTE_VALID"
399,"Konfederacja","Witold","Tumanowicz",NO,NO,"Sławomir","VOTE_VALID"
400,"KO","Donald","Tusk",NO,YES,"Franciszek","VOTE_VALID"
401,"Konfederacja","Stanisław","Tyszka",NA,NA,NA,"ABSENT"
402,"Lewica","Katarzyna","Ueberhan",NO,YES,NA,"VOTE_VALID"
403,"KO","Jarosław","Urbaniak",NO,YES,"Piotr","VOTE_VALID"
404,"PiS","Piotr","Uruski",YES,NO,"Marcin","VOTE_VALID"
405,"PiS","Piotr","Uściński",YES,NO,NA,"VOTE_VALID"
406,"KO","Jarosław","Wałęsa",NO,YES,"Leszek","VOTE_VALID"
407,"PiS","Marcin","Warchoł",YES,NO,"Józef","VOTE_VALID"
408,"KO","Robert","Wardzała",NO,YES,"Marian","VOTE_VALID"
409,"PiS","Robert","Warwas",YES,NO,"Piotr","VOTE_VALID"
410,"PiS","Jan","Warzecha",YES,NO,"Marek","VOTE_VALID"
411,"PiS","Małgorzata","Wassermann",YES,NO,"Ewa","VOTE_VALID"
412,"Konfederacja","Michał","Wawer",NO,NO,"Jan","VOTE_VALID"
414,"KO","Marta","Wcisło",NO,YES,"Anna","VOTE_VALID"
415,"PiS","Rafał","Weber",YES,NO,NA,"VOTE_VALID"
416,"PiS","Marek","Wesoły",YES,NO,"Jacek","VOTE_VALID"
417,"Lewica","Joanna","Wicha",NO,YES,"Beata","VOTE_VALID"
418,"PiS","Patryk","Wicher",YES,NO,"Tomasz","VOTE_VALID"
419,"Lewica","Dariusz","Wieczorek",NO,YES,"Krzysztof","VOTE_VALID"
420,"PiS","Jarosław","Wieczorek",YES,NO,"Wiesław","VOTE_VALID"
421,"KO","Monika","Wielichowska",NO,YES,NA,"VOTE_VALID"
422,"Konfederacja","Ryszard","Wilk",NO,NO,"Jakub","VOTE_VALID"
423,"PiS","Teresa","Wilk",YES,NO,NA,"VOTE_VALID"
424,"Konfederacja","Przemysław","Wipler",NA,NA,"Janusz","ABSENT"
425,"KO","Aleksandra","Wiśniewska",NO,YES,"Karolina","VOTE_VALID"
426,"KO","Adrian","Witczak",NO,YES,NA,"VOTE_VALID"
427,"KO","Mariusz","Witczak",NO,YES,"Sebastian","VOTE_VALID"
428,"PiS","Elżbieta","Witek",YES,NO,"Barbara","VOTE_VALID"
429,"KO","Przemysław","Witek",NO,YES,"Jarosław","VOTE_VALID"
430,"Polska2050-TD","Kamil","Wnuk",NO,YES,"Wiesław","VOTE_VALID"
431,"KO","Anna","Wojciechowska",NO,YES,NA,"VOTE_VALID"
432,"PiS","Agnieszka","Wojciechowska van Heukelom",YES,NO,"Krystyna","VOTE_VALID"
433,"PiS","Agata","Wojtyszek",NA,NA,"Katarzyna","ABSENT"
434,"KO","Bogusław","Wołoszański",NO,YES,NA,"VOTE_VALID"
435,"PiS","Michał","Woś",YES,NO,"Piotr","VOTE_VALID"
436,"PiS","Grzegorz","Woźniak",YES,NO,"Adam","VOTE_VALID"
437,"PiS","Tadeusz","Woźniak",YES,NO,"Jacek","VOTE_VALID"
438,"PiS","Michał","Wójcik",YES,NO,"Marek","VOTE_VALID"
439,"KO","Maciej","Wróbel",NO,YES,"Stanisław","VOTE_VALID"
440,"PiS","Bartłomiej","Wróblewski",YES,NO,"Piotr","VOTE_VALID"
441,"Polska2050-TD","Paweł","Zalewski",NO,YES,"Ksawery","VOTE_VALID"
442,"Lewica","Adrian","Zandberg",NO,YES,"Tadeusz","VOTE_VALID"
443,"Konfederacja","Andrzej","Zapałowski",NO,NO,"Tomasz","VOTE_VALID"
444,"KO","Bartosz","Zawieja",NO,YES,"Józef","VOTE_VALID"
445,"Lewica","Marcelina","Zawisza",NO,YES,"Monika","VOTE_VALID"
446,"PiS","Sławomir","Zawiślak",YES,NO,NA,"VOTE_VALID"
447,"KO","Bogdan","Zdrojewski",NO,YES,"Andrzej","VOTE_VALID"
448,"KO","Witold","Zembaczyński",NO,YES,"Maciej","VOTE_VALID"
449,"PSL-TD","Piotr","Zgorzelski",NO,YES,NA,"VOTE_VALID"
450,"PSL-TD","Zbigniew","Ziejewski",NO,YES,NA,"VOTE_VALID"
451,"KO","Urszula","Zielińska",NO,YES,"Sara","VOTE_VALID"
452,"PiS","Jarosław","Zieliński",YES,NO,NA,"VOTE_VALID"
453,"PiS","Tomasz","Zieliński",YES,NO,"Andrzej","VOTE_VALID"
454,"PSL-TD","Jolanta","Zięba-Gzik",NO,YES,NA,"VOTE_VALID"
455,"Polska2050-TD","Tomasz","Zimoch",NO,YES,"Franciszek","VOTE_VALID"
456,"PiS","Zbigniew","Ziobro",NA,NA,"Tadeusz","ABSENT"
457,"PiS","Wojciech","Zubowski",YES,NO,"Michał","VOTE_VALID"
458,"PiS","Ireneusz","Zyska",YES,NO,NA,"VOTE_VALID"
459,"PSL-TD","Bożena","Żelazowska",NO,YES,"Jadwiga","VOTE_VALID"
460,"Lewica","Anna","Żukowska",NO,YES,"Maria","VOTE_VALID"
461,"PiS","Anna","Baluch",YES,NO,NA,"VOTE_VALID"
