"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,2,"KO","Piotr","Adamowicz",NA,"YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,3,"PiS","Adam","Andruszkiewicz",NA,"YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,4,"PiS","Waldemar","Andzel","Franciszek","YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,6,"PiS","Jan","Ardanowski","Krzysztof","YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,7,"PiS","Iwona","Arent","Ewa","YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,8,"KO","Bartosz","Arłukowicz","Adam","YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,9,"PiS","Marek","Ast",NA,"YES",106,447
2,"2023-12-12T21:57:32","wniosek z druku nr 93","ELECTRONIC",0,10,1,10,10,"Pkt. 40 Wybór składu osobowego Komisji Śledczej do zbadania legalności, prawidłowości oraz celowości działań podjętych w celu przygotowania i przeprowadzenia wyborów Prezydenta Rzeczypospolitej Polskiej w 2020 roku w formie głosowania korespondencyjnego (druk nr 93)","głosowanie nad przyjęciem wniosku z druku.",449,10,"KO","Urszula","Augustyn",NA,"YES",106,447
