"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,1,"PiS","Andrzej","Adamczyk","Mieczysław","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,2,"KO","Piotr","Adamowicz",NA,"NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,3,"PiS","Adam","Andruszkiewicz",NA,"NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,4,"PiS","Waldemar","Andzel","Franciszek","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,6,"PiS","Jan","Ardanowski","Krzysztof","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,7,"PiS","Iwona","Arent","Ewa","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,8,"KO","Bartosz","Arłukowicz","Adam","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,9,"PiS","Marek","Ast",NA,"NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,10,"KO","Urszula","Augustyn",NA,"NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,11,"PiS","Piotr","Babinetz","Mieczysław","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,12,"PiS","Ryszard","Bartosik",NA,"NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,13,"PSL-TD","Władysław","Bartoszewski","Teofil","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,14,"PiS","Barbara","Bartuś","Halina","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,15,"PSL-TD","Paweł","Bejda","Jan","ABSENT",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,16,"Konfederacja","Konrad","Berkowicz","Szczepan","ABSENT",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,17,"KO","Sylwia","Bielawska","Alina","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,18,"PSL-TD","Marek","Biernacki",NA,"ABSENT",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,19,"KO","Paweł","Bliźniuk","Kazimierz","NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,20,"PiS","Mariusz","Błaszczak",NA,"NO",25,0
0,"2024-04-26T11:25:10","ELECTRONIC",421,36,10,3,10,"Pkt. 11 Sprawozdanie Komisji o uchwale Senatu w sprawie ustawy o zapewnianiu spełniania wymagań dostępności niektórych produktów i usług przez podmioty gospodarcze (druki nr 309 i 334)","poprawka 2",421,21,"KO","Mateusz","Bochenek",NA,"NO",25,0
