"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,2,"KO","Piotr","Adamowicz",NA,"YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,3,"PiS","Adam","Andruszkiewicz",NA,"YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,4,"PiS","Waldemar","Andzel","Franciszek","YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,6,"PiS","Jan","Ardanowski","Krzysztof","YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,7,"PiS","Iwona","Arent","Ewa","ABSENT",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,8,"KO","Bartosz","Arłukowicz","Adam","YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,9,"PiS","Marek","Ast",NA,"YES",6,408
14,"2024-01-16T19:07:31","ELECTRONIC",0,35,2,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy o szczególnych rozwiązaniach służących realizacji ustawy budżetowej na rok 2024 (druki nr 142, 143 i 143-A)","poprawka 2",422,10,"KO","Urszula","Augustyn",NA,"YES",6,408
