"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,2,"KO","Piotr","Adamowicz",NA,"ABSENT",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,3,"PiS","Adam","Andruszkiewicz",NA,"YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,4,"PiS","Waldemar","Andzel","Franciszek","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,6,"PiS","Jan","Ardanowski","Krzysztof","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,7,"PiS","Iwona","Arent","Ewa","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,8,"KO","Bartosz","Arłukowicz","Adam","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,9,"PiS","Marek","Ast",NA,"YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,10,"KO","Urszula","Augustyn",NA,"YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,11,"PiS","Piotr","Babinetz","Mieczysław","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,12,"PiS","Ryszard","Bartosik",NA,"YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,13,"PSL-TD","Władysław","Bartoszewski","Teofil","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,14,"PiS","Barbara","Bartuś","Halina","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,15,"PSL-TD","Paweł","Bejda","Jan","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,16,"Konfederacja","Konrad","Berkowicz","Szczepan","YES",12,432
0,"2024-01-18T09:47:06","ELECTRONIC",1,24,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 10",433,17,"KO","Sylwia","Bielawska","Alina","YES",12,432
