"MP","club","firstName","lastName","listVotes.HOŁOWNIA SZYMON","listVotes.WITEK ELŻBIETA","secondName","vote"
 76,"Nowa_Lewica","Agnieszka","Dziemianowicz-Bąk",YES,NO,"Ewa","VOTE_VALID"
 77,"KO","Magdalena","Filiks",YES,NO,NA,"VOTE_VALID"
 78,"PiS","Magdalena","Filipek-Sobczak",NO,YES,NA,"VOTE_VALID"
 79,"PiS","Radosław","Fogiel",NO,YES,"Aleksander","VOTE_VALID"
 80,"Konfederacja","Bronisław","Foltyn",YES,NO,"Edward","VOTE_VALID"
 81,"Konfederacja","Roman","Fritz",YES,NO,"Henryk","VOTE_VALID"
 82,"KO","Joanna","Frydrych",YES,NO,"Zofia","VOTE_VALID"
 83,"KO","Konrad","Frysztak",YES,NO,NA,"VOTE_VALID"
 84,"KO","Patryk","Gabriel",YES,NO,NA,"VOTE_VALID"
 85,"KO","Krzysztof","Gadowski",YES,NO,"Jan","VOTE_VALID"
 86,"KO","Aleksandra","Gajewska",YES,NO,"Małgorzata","VOTE_VALID"
 87,"KO","Kinga","Gajewska",YES,NO,"Magdalena","VOTE_VALID"
 88,"KO","Elżbieta","Gapińska",YES,NO,"Teresa","VOTE_VALID"
 89,"KO","Kamila","Gasiuk-Pihowicz",YES,NO,NA,"VOTE_VALID"
 90,"Nowa_Lewica","Krzysztof","Gawkowski",YES,NO,"Kamil","VOTE_VALID"
 91,"KO","Zdzisław","Gawlik",YES,NO,NA,"VOTE_VALID"
 92,"PiS","Andrzej","Gawron",NO,YES,"Janusz","VOTE_VALID"
 93,"PiS","Grzegorz","Gaża",NO,YES,"Krzysztof","VOTE_VALID"
 94,"KO","Elżbieta","Gelert",YES,NO,"Kazimiera","VOTE_VALID"
 95,"PiS","Anna","Gembicka",NO,YES,"Urszula","VOTE_VALID"
 96,"KO","Artur","Gierada",YES,NO,"Daniel","VOTE_VALID"
 97,"KO","Roman","Giertych",YES,NO,"Jacek","VOTE_VALID"
 98,"KO","Włodzisław","Giziński",YES,NO,NA,"VOTE_VALID"
 99,"PiS","Szymon","Giżyński",NO,YES,"Stanisław","VOTE_VALID"
100,"PiS","Piotr","Gliński",NO,YES,"Tadeusz","VOTE_VALID"
101,"KO","Tomasz","Głogowski",YES,NO,"Marian","VOTE_VALID"
102,"KO","Piotr","Głowski",YES,NO,"Krzysztof","VOTE_VALID"
103,"KO","Marta","Golbik",YES,NO,"Joanna","VOTE_VALID"
104,"PiS","Małgorzata","Golińska",NO,YES,"Joanna","VOTE_VALID"
105,"PiS","Kazimierz","Gołojuch",NO,YES,"Edward","VOTE_VALID"
106,"Polska2050","Adam","Gomoła",YES,NO,"Michał","VOTE_VALID"
107,"PiS","Robert","Gontarz",NO,YES,NA,"VOTE_VALID"
108,"KO","Stanisław","Gorczyca",YES,NO,"Andrzej","VOTE_VALID"
109,"PiS","Mariusz","Gosek",NO,YES,"Marek","VOTE_VALID"
110,"Nowa_Lewica","Daria","Gosek-Popiołek",YES,NO,"Iwona","VOTE_VALID"
111,"PiS","Małgorzata","Gosiewska",NO,YES,"Maria","VOTE_VALID"
112,"Polska2050","Piotr","Górnikiewicz",YES,NO,"Tadeusz","VOTE_VALID"
113,"PiS","Agnieszka","Górska",NO,YES,"Beata","VOTE_VALID"
114,"KO","Krzysztof","Grabczuk",YES,NO,NA,"VOTE_VALID"
115,"KO","Jan","Grabiec",YES,NO,"Stanisław","VOTE_VALID"
116,"PiS","Marcin","Grabowski",NO,YES,NA,"VOTE_VALID"
117,"Polska2050","Michał","Gramatyka",YES,NO,"Sebastian","VOTE_VALID"
118,"KO","Małgorzata","Gromadzka",YES,NO,NA,"VOTE_VALID"
119,"PiS","Marek","Gróbarczyk",NO,YES,NA,"VOTE_VALID"
120,"PSL","Andrzej","Grzyb",YES,NO,"Marian","VOTE_VALID"
121,"PiS","Andrzej","Gut-Mostowy",NO,YES,NA,"VOTE_VALID"
122,"PiS","Kazimierz","Gwiazdowski",NO,YES,NA,"VOTE_VALID"
123,"PiS","Marcin","Gwóźdź",NO,YES,"Piotr","VOTE_VALID"
