"MP","club","firstName","lastName","listVotes.HOŁOWNIA SZYMON","listVotes.WITEK ELŻBIETA","secondName","vote"
337,"KO","Tomasz","Siemoniak",YES,NO,NA,"VOTE_VALID"
338,"KO","Bartłomiej","Sienkiewicz",YES,NO,"Henryk","VOTE_VALID"
339,"Nowa_Lewica","Arkadiusz","Sikora",YES,NO,"-","VOTE_VALID"
340,"Konfederacja","Włodzimierz","Skalik",YES,NO,"Bogdan","VOTE_VALID"
341,"Polska2050","Marcin","Skonieczka",YES,NO,"Seweryn","VOTE_VALID"
342,"KO","Krystyna","Skowrońska",YES,NO,NA,"VOTE_VALID"
343,"PiS","Sławomir","Skwarek",NO,YES,NA,"VOTE_VALID"
344,"KO","Waldemar","Sługocki",YES,NO,"Jan","VOTE_VALID"
345,"KO","Weronika","Smarduch",YES,NO,"Anna","VOTE_VALID"
346,"PiS","Kazimierz","Smoliński",NO,YES,NA,"VOTE_VALID"
347,"KO","Anna","Sobolak",YES,NO,"Helena","VOTE_VALID"
348,"PiS","Krzysztof","Sobolewski",NO,YES,NA,"VOTE_VALID"
349,"PiS","Artur","Soboń",NO,YES,NA,"VOTE_VALID"
350,"PiS","Agnieszka","Soin",NO,YES,"Anna","VOTE_VALID"
351,"PSL","Zbigniew","Sosnowski",YES,NO,NA,"VOTE_VALID"
352,"KO","Marek","Sowa",YES,NO,"Jan","VOTE_VALID"
353,"PiS","Katarzyna","Sójka",NO,YES,NA,"VOTE_VALID"
354,"PSL","Magdalena","Sroka",YES,NO,"Joanna","VOTE_VALID"
355,"PiS","Mirosława","Stachowiak-Różecka",NO,YES,"Agnieszka","VOTE_VALID"
356,"PiS","Dariusz","Stefaniuk",NO,YES,"Paweł","VOTE_VALID"
357,"KO","Franciszek","Sterczewski",YES,NO,"Wojciech","VOTE_VALID"
358,"Polska2050","Piotr","Strach",YES,NO,"Paweł","VOTE_VALID"
359,"Polska2050","Mirosław","Suchoń",YES,NO,"Tadeusz","VOTE_VALID"
360,"PiS","Marek","Suski",NO,YES,NA,"VOTE_VALID"
361,"KO","Paweł","Suski",YES,NO,NA,"VOTE_VALID"
362,"PiS","Artur","Szałabawka",NO,YES,"Lesław","VOTE_VALID"
363,"PiS","Wojciech","Szarama",NO,YES,"Piotr","VOTE_VALID"
364,"Nowa_Lewica","Wiesław","Szczepański",YES,NO,"Andrzej","VOTE_VALID"
365,"KO","Michał","Szczerba",YES,NO,"Roch","VOTE_VALID"
366,"PiS","Krzysztof","Szczucki",NO,YES,"Łukasz","VOTE_VALID"
367,"PiS","Józefa","Szczurek-Żelazko",NO,YES,NA,"VOTE_VALID"
368,"PiS","Paweł","Szefernaker",NO,YES,"Maciej","VOTE_VALID"
369,"Nowa_Lewica","Andrzej","Szejna",YES,NO,"Jan","VOTE_VALID"
370,"KO","Andrzej","Szewiński",YES,NO,NA,"VOTE_VALID"
371,"KO","Adam","Szłapka",YES,NO,"Stanisław","VOTE_VALID"
372,"KO","Henryk","Szopiński",YES,NO,"Marian","VOTE_VALID"
373,"PiS","Paweł","Szrot",NO,YES,NA,"VOTE_VALID"
374,"KO","Krystyna","Szumilas",YES,NO,"Maria","VOTE_VALID"
375,"PiS","Stanisław","Szwed",NO,YES,NA,"VOTE_VALID"
376,"Polska2050","Ewa","Szymanowska",YES,NO,"Joanna","VOTE_VALID"
377,"KO","Tomasz","Szymański",YES,NO,"Józef","VOTE_VALID"
378,"PiS","Szymon","Szynkowski vel Sęk",NO,YES,"Andrzej","VOTE_VALID"
379,"KO","Łukasz","Ściebiorowski",YES,NO,"Andrzej","VOTE_VALID"
380,"PiS","Agnieszka","Ścigaj",NO,YES,NA,"VOTE_VALID"
381,"PiS","Andrzej","Śliwka",NO,YES,NA,"VOTE_VALID"
382,"Polska2050","Paweł","Śliz",YES,NO,"Marek","VOTE_VALID"
383,"Nowa_Lewica","Krzysztof","Śmiszek",YES,NO,"Jan","VOTE_VALID"
384,"PiS","Jacek","Świat",NO,YES,NA,"VOTE_VALID"
385,"KO","Apoloniusz","Tajner",YES,NO,"Leopold","VOTE_VALID"
386,"PiS","Krzysztof","Tchórzewski",NO,YES,NA,"VOTE_VALID"
387,"PiS","Robert","Telus",NO,YES,NA,"VOTE_VALID"
388,"PiS","Ryszard","Terlecki",NO,YES,"Iwon","VOTE_VALID"
389,"Nowa_Lewica","Tadeusz","Tomaszewski",YES,NO,NA,"VOTE_VALID"
390,"PSL","Jacek","Tomczak",YES,NO,"Jerzy","VOTE_VALID"
391,"Polska2050","Wioleta","Tomczak",YES,NO,"Barbara","VOTE_VALID"
392,"KO","Cezary","Tomczyk",YES,NO,"Józef","VOTE_VALID"
393,"PSL","Stanisław","Tomczyszyn",YES,NO,NA,"VOTE_VALID"
394,"KO","Małgorzata","Tracz",YES,NO,"Elżbieta","VOTE_VALID"
395,"Nowa_Lewica","Tomasz","Trela",YES,NO,"Dominik","VOTE_VALID"
396,"KO","Krzysztof","Truskolaski",YES,NO,NA,"VOTE_VALID"
397,"Konfederacja","Krzysztof","Tuduj",YES,NO,NA,"VOTE_VALID"
398,"PiS","Sylwester","Tułajew",NO,YES,"Karol","VOTE_VALID"
399,"Konfederacja","Witold","Tumanowicz",YES,NO,"Sławomir","VOTE_VALID"
400,"KO","Donald","Tusk",YES,NO,"Franciszek","VOTE_VALID"
401,"Konfederacja","Stanisław","Tyszka",YES,NO,NA,"VOTE_VALID"
402,"Nowa_Lewica","Katarzyna","Ueberhan",YES,NO,NA,"VOTE_VALID"
403,"KO","Jarosław","Urbaniak",YES,NO,"Piotr","VOTE_VALID"
404,"PiS","Piotr","Uruski",NO,YES,"Marcin","VOTE_VALID"
405,"PiS","Piotr","Uściński",NO,YES,NA,"VOTE_VALID"
406,"KO","Jarosław","Wałęsa",YES,NO,"Leszek","VOTE_VALID"
407,"PiS","Marcin","Warchoł",NO,YES,"Józef","VOTE_VALID"
408,"KO","Robert","Wardzała",YES,NO,"Marian","VOTE_VALID"
409,"PiS","Robert","Warwas",NO,YES,"Piotr","VOTE_VALID"
410,"PiS","Jan","Warzecha",NO,YES,"Marek","VOTE_VALID"
411,"PiS","Małgorzata","Wassermann",NO,YES,"Ewa","VOTE_VALID"
412,"Konfederacja","Michał","Wawer",YES,NO,"Jan","VOTE_VALID"
413,"PiS","Maciej","Wąsik",NO,YES,NA,"VOTE_VALID"
414,"KO","Marta","Wcisło",YES,NO,"Anna","VOTE_VALID"
415,"PiS","Rafał","Weber",NO,YES,NA,"VOTE_VALID"
416,"PiS","Marek","Wesoły",NO,YES,"Jacek","VOTE_VALID"
417,"Nowa_Lewica","Joanna","Wicha",YES,NO,"Beata","VOTE_VALID"
418,"PiS","Patryk","Wicher",NO,YES,"Tomasz","VOTE_VALID"
419,"Nowa_Lewica","Dariusz","Wieczorek",YES,NO,"Krzysztof","VOTE_VALID"
420,"PiS","Jarosław","Wieczorek",NO,YES,"Wiesław","VOTE_VALID"
421,"KO","Monika","Wielichowska",YES,NO,NA,"VOTE_VALID"
422,"Konfederacja","Ryszard","Wilk",YES,NO,"Jakub","VOTE_VALID"
423,"PiS","Teresa","Wilk",NO,YES,NA,"VOTE_VALID"
424,"Konfederacja","Przemysław","Wipler",YES,NO,"Janusz","VOTE_VALID"
425,"KO","Aleksandra","Wiśniewska",YES,NO,"Karolina","VOTE_VALID"
426,"KO","Adrian","Witczak",YES,NO,NA,"VOTE_VALID"
427,"KO","Mariusz","Witczak",YES,NO,"Sebastian","VOTE_VALID"
428,"PiS","Elżbieta","Witek",NO,YES,"Barbara","VOTE_VALID"
429,"KO","Przemysław","Witek",YES,NO,"Jarosław","VOTE_VALID"
430,"Polska2050","Kamil","Wnuk",YES,NO,"Wiesław","VOTE_VALID"
431,"KO","Anna","Wojciechowska",YES,NO,NA,"VOTE_VALID"
432,"PiS","Agnieszka","Wojciechowska van Heukelom",NO,YES,"Krystyna","VOTE_VALID"
433,"PiS","Agata","Wojtyszek",NO,YES,"Katarzyna","VOTE_VALID"
434,"KO","Bogusław","Wołoszański",YES,NO,NA,"VOTE_VALID"
435,"PiS","Michał","Woś",NO,YES,"Piotr","VOTE_VALID"
436,"PiS","Grzegorz","Woźniak",NO,YES,"Adam","VOTE_VALID"
437,"PiS","Tadeusz","Woźniak",NO,YES,"Jacek","VOTE_VALID"
438,"PiS","Michał","Wójcik",NO,YES,"Marek","VOTE_VALID"
439,"KO","Maciej","Wróbel",YES,NO,"Stanisław","VOTE_VALID"
440,"PiS","Bartłomiej","Wróblewski",NO,YES,"Piotr","VOTE_VALID"
441,"Polska2050","Paweł","Zalewski",YES,NO,"Ksawery","VOTE_VALID"
442,"Nowa_Lewica","Adrian","Zandberg",YES,NO,"Tadeusz","VOTE_VALID"
443,"Konfederacja","Andrzej","Zapałowski",YES,NO,"Tomasz","VOTE_VALID"
444,"KO","Bartosz","Zawieja",YES,NO,"Józef","VOTE_VALID"
445,"Nowa_Lewica","Marcelina","Zawisza",YES,NO,"Monika","VOTE_VALID"
446,"PiS","Sławomir","Zawiślak",NO,YES,NA,"VOTE_VALID"
447,"KO","Bogdan","Zdrojewski",YES,NO,"Andrzej","VOTE_VALID"
448,"KO","Witold","Zembaczyński",YES,NO,"Maciej","VOTE_VALID"
449,"PSL","Piotr","Zgorzelski",YES,NO,NA,"VOTE_VALID"
450,"PSL","Zbigniew","Ziejewski",YES,NO,NA,"VOTE_VALID"
451,"KO","Urszula","Zielińska",YES,NO,"Sara","VOTE_VALID"
452,"PiS","Jarosław","Zieliński",NO,YES,NA,"VOTE_VALID"
453,"PiS","Tomasz","Zieliński",NO,YES,"Andrzej","VOTE_VALID"
454,"PSL","Jolanta","Zięba-Gzik",YES,NO,NA,"VOTE_VALID"
455,"Polska2050","Tomasz","Zimoch",YES,NO,"Franciszek","VOTE_VALID"
456,"PiS","Zbigniew","Ziobro",NO,YES,"Tadeusz","VOTE_VALID"
457,"PiS","Wojciech","Zubowski",NO,YES,"Michał","VOTE_VALID"
458,"PiS","Ireneusz","Zyska",NO,YES,NA,"VOTE_VALID"
459,"PSL","Bożena","Żelazowska",YES,NO,"Jadwiga","VOTE_VALID"
460,"Nowa_Lewica","Anna","Żukowska",YES,NO,"Maria","VOTE_VALID"
