"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.listVotes.1","votes.listVotes.2","votes.secondName","votes.vote","votingNumber","votingOptions.option","votingOptions.optionIndex","votingOptions.votes","yes"
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 21,"KO","Mateusz","Bochenek",YES,NO,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 22,"PiS","Rafał","Bochenek",NO,YES,"Paweł","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 23,"Polska2050","Izabela","Bodnar",YES,NO,"Anna","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 24,"PiS","Jacek","Bogucki",NO,YES,NA,"VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 25,"PiS","Zbigniew","Bogucki",NO,YES,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 26,"KO","Krzysztof","Bojarski",YES,NO,NA,"VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 27,"PiS","Joanna","Borowiak",NO,YES,"Beata","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 28,"PiS","Kamil","Bortniczuk",NO,YES,NA,"VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 29,"KO","Piotr","Borys",YES,NO,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 30,"PiS","Bożena","Borys-Szopa",NO,YES,"Teresa","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
