"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,1,"PiS","Andrzej","Adamczyk","Mieczysław","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,2,"KO","Piotr","Adamowicz",NA,"ABSENT",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,3,"PiS","Adam","Andruszkiewicz",NA,"YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,4,"PiS","Waldemar","Andzel","Franciszek","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,6,"PiS","Jan","Ardanowski","Krzysztof","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,7,"PiS","Iwona","Arent","Ewa","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,8,"KO","Bartosz","Arłukowicz","Adam","YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,9,"PiS","Marek","Ast",NA,"NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,10,"KO","Urszula","Augustyn",NA,"YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,11,"PiS","Piotr","Babinetz","Mieczysław","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,12,"PiS","Ryszard","Bartosik",NA,"NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,13,"PSL-TD","Władysław","Bartoszewski","Teofil","YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,14,"PiS","Barbara","Bartuś","Halina","NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,15,"PSL-TD","Paweł","Bejda","Jan","YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,16,"Konfederacja","Konrad","Berkowicz","Szczepan","YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,17,"KO","Sylwia","Bielawska","Alina","YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,18,"PSL-TD","Marek","Biernacki",NA,"YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,19,"KO","Paweł","Bliźniuk","Kazimierz","YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,20,"PiS","Mariusz","Błaszczak",NA,"NO",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,21,"KO","Mateusz","Bochenek",NA,"YES",6,259
1,"2024-01-18T09:41:18","ELECTRONIC",175,22,3,1,10,"Pkt. 2 Sprawozdanie Komisji o rządowym projekcie ustawy budżetowej na rok 2024 (druki nr 125, 144 i 144-A) - trzecie czytanie","poprawka 4",435,22,"PiS","Rafał","Bochenek","Paweł","NO",6,259
