"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,2,"KO","Piotr","Adamowicz",NA,"YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,3,"PiS","Adam","Andruszkiewicz",NA,"YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,4,"PiS","Waldemar","Andzel","Franciszek","YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,6,"PiS","Jan","Ardanowski","Krzysztof","YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,7,"PiS","Iwona","Arent","Ewa","YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,8,"KO","Bartosz","Arłukowicz","Adam","YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,9,"PiS","Marek","Ast",NA,"YES",7,431
0,"2024-03-20T18:31:34","całość projektu ustawy","ELECTRONIC",0,28,8,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy o rachunkowości oraz niektórych innych ustaw (druki nr 242 i 252)","głosowanie nad całością projektu.",431,10,"KO","Urszula","Augustyn",NA,"YES",7,431
