"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,2,"KO","Piotr","Adamowicz",NA,"YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,3,"PiS","Adam","Andruszkiewicz",NA,"YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,4,"PiS","Waldemar","Andzel","Franciszek","YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,6,"PiS","Jan","Ardanowski","Krzysztof","YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,7,"PiS","Iwona","Arent","Ewa","YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,8,"KO","Bartosz","Arłukowicz","Adam","YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,9,"PiS","Marek","Ast",NA,"YES",21,405
2,"2024-03-07T21:44:14","całość projektu uchwały","ELECTRONIC",26,26,7,2,10,"Pkt. 14 Informacja dla Sejmu i Senatu RP o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej w okresie lipiec-grudzień 2023 r. (przewodnictwo Hiszpanii w Radzie Unii Europejskiej) wraz z komisyjnym projektem uchwały (druki nr 193 i 217) - kontynuacja","głosowanie nad całością projektu.",433,10,"KO","Urszula","Augustyn",NA,"YES",21,405
