"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,2,"KO","Piotr","Adamowicz",NA,"NO",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,3,"PiS","Adam","Andruszkiewicz",NA,"YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,4,"PiS","Waldemar","Andzel","Franciszek","YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,6,"PiS","Jan","Ardanowski","Krzysztof","YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,7,"PiS","Iwona","Arent","Ewa","YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,8,"KO","Bartosz","Arłukowicz","Adam","NO",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,9,"PiS","Marek","Ast",NA,"YES",88,186
17,"2023-12-07T18:41:29","ELECTRONIC",244,13,1,8,10,"Pkt. 33 Sprawozdanie Komisji o poselskim projekcie ustawy o zmianie ustaw w celu wsparcia odbiorców energii elektrycznej, paliw gazowych i ciepła oraz niektórych innych ustaw (druki nr 72, 72-A i 88)","poprawka 27",447,10,"KO","Urszula","Augustyn",NA,"NO",88,186
