"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,1,"PiS","Andrzej","Adamczyk","Mieczysław","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,2,"KO","Piotr","Adamowicz",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,3,"PiS","Adam","Andruszkiewicz",NA,"YES",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,4,"PiS","Waldemar","Andzel","Franciszek","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,6,"PiS","Jan","Ardanowski","Krzysztof","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,7,"PiS","Iwona","Arent","Ewa","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,8,"KO","Bartosz","Arłukowicz","Adam","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,9,"PiS","Marek","Ast",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,10,"KO","Urszula","Augustyn",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,11,"PiS","Piotr","Babinetz","Mieczysław","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,12,"PiS","Ryszard","Bartosik",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,13,"PSL-TD","Władysław","Bartoszewski","Teofil","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,14,"PiS","Barbara","Bartuś","Halina","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,15,"PSL-TD","Paweł","Bejda","Jan","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,16,"Konfederacja","Konrad","Berkowicz","Szczepan","YES",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,17,"KO","Sylwia","Bielawska","Alina","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,18,"PSL-TD","Marek","Biernacki",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,19,"KO","Paweł","Bliźniuk","Kazimierz","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,20,"PiS","Mariusz","Błaszczak",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,21,"KO","Mateusz","Bochenek",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,22,"PiS","Rafał","Bochenek","Paweł","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,23,"Polska2050-TD","Izabela","Bodnar","Anna","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,24,"PiS","Jacek","Bogucki",NA,"YES",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,25,"PiS","Zbigniew","Bogucki",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,26,"KO","Krzysztof","Bojarski",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,27,"PiS","Joanna","Borowiak","Beata","NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,28,"PiS","Kamil","Bortniczuk",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,29,"KO","Piotr","Borys",NA,"NO",6,54
1,"2024-03-20T18:29:19","ELECTRONIC",378,26,8,1,10,"8. posiedzenie Sejmu RP w dniach 20 i 21 marca 2024 r.","wniosek o odroczenie posiedzenia",433,30,"PiS","Bożena","Borys-Szopa","Teresa","NO",6,54
