"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,1,"PiS","Andrzej","Adamczyk","Mieczysław","NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,2,"KO","Piotr","Adamowicz",NA,"YES",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,3,"PiS","Adam","Andruszkiewicz",NA,"NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,4,"PiS","Waldemar","Andzel","Franciszek","NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,6,"PiS","Jan","Ardanowski","Krzysztof","NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,7,"PiS","Iwona","Arent","Ewa","ABSENT",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,8,"KO","Bartosz","Arłukowicz","Adam","YES",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,9,"PiS","Marek","Ast",NA,"NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,10,"KO","Urszula","Augustyn",NA,"YES",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,11,"PiS","Piotr","Babinetz","Mieczysław","NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,12,"PiS","Ryszard","Bartosik",NA,"NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,13,"PSL-TD","Władysław","Bartoszewski","Teofil","YES",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,14,"PiS","Barbara","Bartuś","Halina","NO",10,241
0,"2024-01-16T19:11:27","całość projektu ustawy","ELECTRONIC",185,31,2,1,10,"Pkt. 3 Sprawozdanie Komisji o rządowym projekcie ustawy o zmianie ustawy - Przepisy wprowadzające ustawę - Prawo o szkolnictwie wyższym i nauce (druki nr 141, 141-A, 153 i 153-A)","głosowanie nad całością projektu.",426,15,"PSL-TD","Paweł","Bejda","Jan","YES",10,241
